album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
10 Years of Hardstyle by Frequencerz,0.4692,0.9512,-3.0296,0.18607999999999997,0.025186000000000004,0.008265765999999999,0.18717999999999999,152.8674
10 Years of Seven Lions,0.422,0.677,-5.76,0.0365,0.253,3.91e-06,0.152,150.151
10 Years of secretsundaze,0.934,0.948,-3.795,0.239,0.0247,0.00974,0.191,129.031
10 bitures de pêche,0.341,0.933,-1.66,0.0932,0.00125,0.0,0.848,176.984
10 de Colección,0.6105,0.48050000000000004,-5.79575,0.029275000000000002,0.71075,0.00017925,0.72975,99.21825
10 years of... The Remixes,0.794,0.765,-9.21,0.0545,0.0031,0.814,0.345,111.996
10 år - en snäll mans bekännelser,0.498,0.677,-6.385,0.0392,0.00557,0.00218,0.33,135.969
10&2,0.79,0.415,-8.262,0.185,0.211,0.0,0.635,84.979
10's Dance Classics,0.689391304347826,0.8266304347826087,-4.745260869565217,0.0616304347826087,0.057182565217391304,0.1516116652173913,0.4042152173913043,119.0203695652174
10's Music Grandi Successi,0.5959591836734693,0.7345306122448979,-5.1035306122448985,0.06852244897959184,0.12219122448979593,0.002009692857142857,0.5543877551020407,124.10540816326531
"10, 000 Thanks...",0.236,0.932,-5.176,0.355,0.0245,0.00232,0.251,148.542
"10,000 Days",0.471,0.75625,-7.0120000000000005,0.034875,0.0011919,0.59,0.3705,111.9695
"10,000 Hours",0.5880000000000001,0.506,-5.7044999999999995,0.02845,0.271,0.0,0.47450000000000003,129.926
"10,000 Hours  [Piano]",0.426,0.366,-6.514,0.0312,0.765,0.0,0.386,179.736
"10,000 Reasons",0.4034,0.6454,-6.951400000000001,0.04254,0.27124562,6.08e-06,0.348,130.097
10-feat,0.355,0.993,-1.176,0.141,0.00114,0.00113,0.32,195.026
10.000 bunte Luftballons,0.654,0.797,-5.68,0.0318,0.3,1.92e-06,0.752,123.026
10.30 AM Local Call,0.847,0.511,-9.699,0.0718,0.42,2.81e-05,0.436,99.996
100,0.63575,0.8202499999999999,-5.495,0.1315,0.145725,0.123175,0.2754,120.63975
100 % Mats Rådberg & Rankarna,0.58,0.643,-9.584,0.0573,0.562,0.000122,0.934,172.501
100 % of Disin U - Remixes,0.89,0.6475,-10.877500000000001,0.232,0.005805,0.613,0.6645,127.292
100 000 stenar,0.6,0.655,-10.593,0.395,0.0158,2.87e-05,0.743,180.065
100 Anos,0.712,0.279,-11.974,0.208,0.973,0.000722,0.686,129.381
100 Anos do Movimento Pentecostal,0.363,0.747,-4.448,0.0975,0.307,0.0,0.332,150.94
100 Años De Tango Vol.3,0.422,0.26,-12.354,0.042,0.89,0.0,0.372,112.741
100 Años...100 Exitos,0.629,0.21,-13.593,0.285,0.833,0.102,0.475,87.427
100 Best Russian Romances Part 2,0.3745,0.08940000000000001,-19.0955,0.0469,0.992,0.0004805,0.2465,73.0145
100 Chansons,0.581,0.547,-8.604,0.0295,0.0542,0.0,0.566,120.989
100 Degrees in the Shade,0.565,0.6,-6.253,0.0648,0.467,0.0,0.671,161.896
100 Favorite Fun Songs for Kids,0.555,0.517,-8.48,0.048,0.502,2.26e-05,0.699,151.813
100 Fun Songs for Kids Vol. 1,0.9195,0.33299999999999996,-10.744,0.0536,0.3265,0.0,0.9615,113.928
100 Grandes Sucessos,0.541,0.142,-16.59,0.0526,0.686,0.797,0.617,117.961
100 Greatest 80s,0.665,0.762,-7.161,0.0382,0.00166,0.000277,0.642,120.915
100 Greatest Bluegrass Hits,0.459,0.5706666666666667,-11.273666666666665,0.03406666666666667,0.5790000000000001,0.36281566666666665,0.8725,129.895
100 Greatest Christmas Songs Ever,0.22799999999999998,0.318,-8.9495,0.03055,0.868,0.00040639999999999996,0.12775,80.036
100 Greatest Moments,0.242,0.295,-10.751,0.0319,0.919,0.899,0.467,186.669
100 Jahre EAV,0.535,0.836,-7.0,0.043,0.124,0.0,0.699,168.031
100 Likes,0.585,0.631,-8.118,0.0325,0.6,0.0,0.627,145.944
"100 Tangos, Vol. 4",0.5184,0.537,-4.6,0.06612,0.9246000000000001,6.74e-05,0.6112,108.36859999999999
100 X Hardstyle,0.626,0.928,-6.725,0.0593,0.0108,0.405,0.542,150.031
100 bestu lög lýðveldisins,0.801,0.556,-12.297,0.132,0.0149,0.725,0.695,102.036
100%,0.7326666666666667,0.766,-7.773333333333333,0.05256666666666667,0.42966666666666664,1.3466666666666668e-06,0.8929999999999999,125.38533333333334
100% Charlie Brown Jr - Abalando A Sua Fábrica,0.24444444444444446,0.9163333333333333,-6.731,0.10477777777777778,0.009437333333333332,0.3015855333333333,0.5748888888888888,169.01166666666666
100% Grupo Revelação,0.658,0.793,-8.069,0.0337,0.408,0.0,0.959,92.141
100% Half-Assed,0.6536666666666667,0.5616666666666666,-13.055666666666667,0.934,0.7600000000000001,0.0,0.618,113.79533333333332
100% Kikki,0.529,0.903,-2.045,0.0377,0.0709,1.24e-05,0.487,124.127
100% LIEBE,0.703,0.818,-3.852,0.0464,0.0426,0.0,0.516,122.03
100% Lena Philipsson,0.601,0.847,-4.397,0.06035,0.2962,0.002845,0.441,112.6105
100% Reggaeton Cubano,0.755,0.598,-5.81,0.0797,0.33,1.79e-05,0.962,174.041
100% Sorriso Maroto,0.45,0.446,-10.258,0.035,0.825,0.0,0.311,126.762
100% of Dissin You Remixes,0.7024999999999999,0.7985,-8.7965,0.10485,0.005725,0.6815,0.6965,126.6785
1000 Faces,0.57,0.582,-6.316,0.0306,0.193,0.0,0.12,99.97
1000 Forms Of Fear,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.572,117.089
1000 Man Dronken,0.806,0.864,-5.106,0.151,0.0795,0.000244,0.901,149.96
1000 Trutas 1000 Tretas,0.63875,0.9235,-4.09825,0.35425,0.303925,0.0,0.68475,98.0655
1000 Vivos,0.5983333333333333,0.7103333333333334,-6.9510000000000005,0.029166666666666664,0.3116666666666667,2.1113333333333333e-05,0.8013333333333333,117.43399999999998
1000 Watts,0.775,0.709,-8.119,0.0753,0.141,0.824,0.966,152.416
1000 Years,0.502,0.36000000000000004,-11.515666666666666,0.06369999999999999,0.7076666666666668,0.0003401466666666667,0.30633333333333335,98.93633333333334
1001,0.471,0.855,-7.742,0.0421,0.00812,4.36e-06,0.672,142.771
